Title	Length	Depth	Explored	X	Y	Altitude
A_4				684734.130000	4757221.650000	2145.000000
A_106				680093.270000	4757196.620000	1648.000000
A_110				681688.230000	4757882.630000	1820.000000
AN1				684201.150000	4756930.650000	2169.000000
AN8				681094.250000	4757729.620000	1804.000000
AN9				681176.240000	4757674.620000	1813.000000
AN26				680809.250000	4757403.620000	1719.000000
AN37				680428.260000	4757377.620000	1746.000000
AN45				679958.280000	4757435.610000	1656.000000
AN58				684530.140000	4756917.650000	2200.000000
AN61				684299.140000	4756726.650000	2216.500000
AN62				684354.140000	4756648.650000	2192.000000
AN66				683876.150000	4756779.650000	2111.000000
AN73				683759.160000	4757279.640000	2072.000000
AN103				684351.150000	4757492.650000	2138.000000
AN107				684229.150000	4757508.650000	2125.000000
AN109				684207.150000	4757545.650000	2114.000000
AN211				683840.160000	4757318.640000	2060.000000
AN211				683840.160000	4757318.640000	2060.000000
AN_324				679896.470000	4757021.210000	1622.000000
AN_325				679727.280000	4756968.610000	1603.000000
AN326				679912.000000	4757339.000000	1622.000000
AN453				683422.480000	4757652.340000	1972.000000
AN_455				683452.180000	4757668.640000	1968.000000
AN456				683249.180000	4757533.640000	1962.000000
AN_465				684098.150000	4757408.650000	2125.000000
AN480				683231.180000	4757706.640000	1945.000000
AN506				684039.150000	4757050.650000	2163.300000
AN507				684028.150000	4756927.650000	2145.600000
AN514				684786.130000	4756655.650000	2324.000000
AN514				684786.130000	4756655.650000	2324.000000
AN532				684560.140000	4757190.650000	2124.000000
AN534				684681.140000	4757205.650000	2135.000000
AN536				684505.140000	4757205.650000	2108.000000
AN542				684755.130000	4757297.650000	2150.000000
AN546				684873.120000	4756739.650000	2267.000000
AN557				684106.150000	4757361.650000	2112.000000
AN561				684308.140000	4756757.650000	2226.000000
AN567				684424.150000	4757451.650000	2145.000000
AN576				684089.150000	4756977.650000	2149.000000
AN588				683870.160000	4757524.640000	2083.000000
AN591				684035.150000	4756981.650000	2147.000000
AN_594				683050.190000	4757528.640000	1956.000000
AN595				685188.120000	4756769.660000	2248.500000
AN596				683785.160000	4757303.640000	2057.000000
AN616				683177.180000	4757560.640000	1944.000000
AN619				683329.170000	4757022.640000	2033.000000
AN622				683315.180000	4757182.640000	2034.000000
AN624				683122.180000	4757548.640000	1949.000000
AN627				684478.140000	4757283.650000	2144.000000
AN631				684769.130000	4756785.650000	2245.000000
AN634				685389.110000	4756416.660000	2334.000000
AN635				685502.100000	4756412.660000	2315.000000
AN639				685420.100000	4756323.660000	2263.000000
AN646				684489.140000	4757439.650000	2162.000000
AN669				684336.140000	4756730.650000	2223.700000
AN671				683091.180000	4757520.640000	1958.000000
